time,site,link,description,theme
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/ivykiai/2024/12/14/news/kontroversisku-rinkimu-metu-isrinktas-naujas-sakartvelo-prezidentas-35649264,Kontroversiškų rinkimų metu išrinktas naujas Sakartvelo prezidentas: žmonės Tbilisyje išėjo į gatves  (7) ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/14/news/ziniasklaida-d-trumpas-svarsto-galimybe-smogti-irano-branduoliniams-objektams-35633501,Žiniasklaida: D. Trumpas svarsto galimybę smogti Irano branduoliniams objektams  (4) ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/ivykiai/2024/12/14/news/pietu-korejos-parlamentas-nubalsavo-uz-prezidento-nusalinima-35644421,Pietų Korėjos parlamentas nubalsavo už prezidento nušalinimą ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/ivykiai/2024/12/13/news/itariamas-niujorko-zudikas-l-mangione-paliko-keista-misle-internautai-isgliaude-ka-tai-reiskia-35612760,"Įtariamas Niujorko žudikas L. Mangione paliko keistą mįslę: internautai išgliaudė, ką tai reiškia ",Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/13/news/karas-ukrainoje-is-a-syrskio-nerima-keliantys-pareiskimai-vykstant-intensyviems-musiams-rusija-arteja-prie-strategiskai-35612830,"Po hibridinių Rusijos atakų – ES diplomatų atsakas: skelbia, ko imsis Gruodžio 13-osios įvykiai (6) ",Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/13/news/kremlius-sureagavo-i-skambu-d-trumpo-pareiskima-visiskai-sutinkame-35631745,Kremlius sureagavo į skambų D. Trumpo pareiškimą: visiškai sutinkame  (8) ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/uzsienio-zvaigzdes/2024/12/14/news/keira-knightley-prasitare-kad-nebenori-vaiku-del-to-kaltas-vienas-animacinis-serialas-35580808,"Keira Knightley prasitarė, kad nebenori vaikų: dėl to kaltas vienas animacinis serialas ",Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/veidai-ir-vardai/2024/12/14/news/atlydejusi-dukra-i-darzelio-svente-simona-bandita-susigraudino-asaros-kaupesi-vos-izengus-i-vidu--35653090,"Atlydėjusi dukrą į darželio šventę, Simona Bandita susigraudino: „Ašaros kaupėsi vos įžengus į vidų“  (2) ",Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/veidai-ir-vardai/2024/12/14/news/inga-zuolyte-parode-kaip-per-5-metus-pasikeite-jos-seima-atsirado-nauju-kalediniu-tradiciju--35652007,"Inga Žuolytė parodė, kaip per 5 metus pasikeitė jos šeima: „Atsirado naujų kalėdinių tradicijų“ ",Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/uzsienio-zvaigzdes/2024/12/14/news/po-kovos-su-veziu-catherine-middleton-grizta-kitokia-tai-tyla-pries-audra--35631199,Po kovos su vėžiu Catherine Middleton grįžta kitokia: „Tai – tyla prieš audrą“ ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/tv-antena/2024/12/14/news/lnk-sou-kaukes-atidengta-lasiniu-kauke-po-ja-slepesi-43-kilogramu-atsikraciusi-scenos-legenda-35662556,LNK šou „Kaukės“ atidengta Lašinių kaukė – po ja slėpėsi 43 kilogramų atsikračiusi scenos legenda ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/tv-antena/2024/12/15/news/benas-aleksandravicius-su-a-mamontovu-atidare-lietuvos-balso-nokautus-ant-koju-pakele-visa-arena-35665876,Benas Aleksandravičius su A. Mamontovu atidarė „Lietuvos balso“ nokautus: ant kojų pakėlė visą areną ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/tv-antena/2024/12/15/news/jauniausiai-x-faktoriaus-dalyvei-viltei-netiketos-naujienos-tokios-prabangos-as-dabar-neturiu--35665848,Jauniausiai „X faktoriaus“ dalyvei Viltei – netikėtos naujienos: „Tokios prabangos aš dabar neturiu“ ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/veidai-ir-vardai/2024/12/13/news/o-pikul-pirma-karta-atvirai-apie-skyrybas-ir-santykius-su-v-akramaviciumi-pavargau--35613389,O. Pikul pirmą kartą atvirai – apie skyrybas ir  santykius su V. Akramavičiumi: „Pavargau“  (8) ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/zmones/muzika/2024/12/14/news/prezidenturos-kieme-koncertuos-vokietijos-karinio-orkestro-puciamuju-ansamblis-35655179,Prezidentūros kieme koncertuos Vokietijos karinio orkestro pučiamųjų ansamblis  (4) ,Žmonės
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sveikata/gyvenu-sveikai/2024/12/13/news/57-eriu-gydytoja-atskleide-kaip-stiprina-kaulus-tai-laimingos-senatves-receptas-35453337,"57-erių gydytoja atskleidė, kaip stiprina kaulus: tai – laimingos senatvės receptas  (1) ",Sveikata
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sveikata/ligos-ir-gydymas/2024/12/13/news/gyvenimo-kokybe-blogina-labiau-nei-onkologines-ligos-kencia-kas-trecias-vyresnio-amziaus-gyventojas-35595541,Gyvenimo kokybę blogina labiau nei onkologinės ligos: kenčia kas trečias vyresnio amžiaus gyventojas ,Sveikata
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sveikata/medicinos-zinios/2024/12/13/news/medikai-stebisi-naujosios-vyriausybes-abejingumu-sirdies-ir-kraujagysliu-ligu-prevencijai-kreipsis-i-valdzios-institucijas-35632616,Medikai stebisi naujosios Vyriausybės abejingumu širdies ir kraujagyslių ligų prevencijai: kreipsis į valdžios institucijas ,Sveikata
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/augintinis/suteik-namus/2024/12/13/news/-gyvunas-ne-daiktas-ir-ne-dovana-atskleide-ka-daryti-jei-vaikas-kaledoms-praso-suniuko-ir-kaciuko-35607003,"„Gyvūnas ne daiktas ir ne dovana“: atskleidė, ką daryti, jei vaikas Kalėdoms prašo šuniuko ir kačiuko ",Augintinis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/augintinis/prieziura/2024/12/12/news/is-kinologu-suns-vedlio-parengimo-paslaptys-aiskeja-kam-atiteks-pirmas-lietuvoje-paruostas-keturkojis-pagalbininkas-35606772,"Iš kinologų – šuns vedlio parengimo paslaptys: aiškėja, kam atiteks pirmas Lietuvoje paruoštas keturkojis pagalbininkas ",Augintinis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/augintinis/prieziura/2024/12/11/news/klaipedos-rajone-kraupi-nelaime-uzsidege-vagonelis-prieglaudoje-zuvo-ir-dalis-gyvunu-35591228,"Klaipėdos rajone – kraupi nelaimė: užsidegė vagonėlis prieglaudoje, žuvo ir dalis gyvūnų ",Augintinis
